song_id,title,artist,recording_id,isrc,release_date,film_status,language,recording_version,youtube_official_upload_id,youtube_views,upload_date,views_per_day,watch_hours,retention,repeat_listens,prior_artist_popularity,bpm,perceived_pulse,tempo_changes,key,mode,emotion,energy,groove,meter,duration_seconds,intro_seconds,first_vocal_seconds,first_hook_seconds,first_chorus_seconds,hook_repetitions,structure,melodic_contour,vocal_range,tessitura,climax,arrangement_production,feature_provenance_json
C_maan-meri-jaan,Maan Meri Jaan,King,,,,,,chart track aggregate; exact master not bound,,,,,,,,,96,,,F# / Gb,minor,somber (source label),average (source label),very danceable (source label),4 beats per bar; denominator unknown,195,,,,,,,,,,,,"{""bpm"": {""source_id"": ""S08"", ""url"": ""https://songbpm.com/@king/maan-meri-jaan-x4YXpdKL2V"", ""version"": ""original title, not Afterlife or lofi"", ""method"": ""secondary report transcribed; no audio measured"", ""accessed_date"": ""2026-09-22"", ""audio_timestamp"": null, ""confidence"": ""low_to_medium""}, ""key"": {""source_id"": ""S08"", ""url"": ""https://songbpm.com/@king/maan-meri-jaan-x4YXpdKL2V"", ""version"": ""original title, not Afterlife or lofi"", ""method"": ""secondary report transcribed; no audio measured"", ""accessed_date"": ""2026-09-22"", ""audio_timestamp"": null, ""confidence"": ""low_to_medium""}, ""mode"": {""source_id"": ""S08"", ""url"": ""https://songbpm.com/@king/maan-meri-jaan-x4YXpdKL2V"", ""version"": ""original title, not Afterlife or lofi"", ""method"": ""secondary report transcribed; no audio measured"", ""accessed_date"": ""2026-09-22"", ""audio_timestamp"": null, ""confidence"": ""low_to_medium""}, ""duration_seconds"": {""source_id"": ""S08"", ""url"": ""https://songbpm.com/@king/maan-meri-jaan-x4YXpdKL2V"", ""version"": ""original title, not Afterlife or lofi"", ""method"": ""secondary report transcribed; no audio measured"", ""accessed_date"": ""2026-09-22"", ""audio_timestamp"": null, ""confidence"": ""low_to_medium""}, ""emotion"": {""source_id"": ""S08"", ""url"": ""https://songbpm.com/@king/maan-meri-jaan-x4YXpdKL2V"", ""version"": ""original title, not Afterlife or lofi"", ""method"": ""secondary report transcribed; no audio measured"", ""accessed_date"": ""2026-09-22"", ""audio_timestamp"": null, ""confidence"": ""low_to_medium""}, ""energy"": {""source_id"": ""S08"", ""url"": ""https://songbpm.com/@king/maan-meri-jaan-x4YXpdKL2V"", ""version"": ""original title, not Afterlife or lofi"", ""method"": ""secondary report transcribed; no audio measured"", ""accessed_date"": ""2026-09-22"", ""audio_timestamp"": null, ""confidence"": ""low_to_medium""}, ""groove"": {""source_id"": ""S08"", ""url"": ""https://songbpm.com/@king/maan-meri-jaan-x4YXpdKL2V"", ""version"": ""original title, not Afterlife or lofi"", ""method"": ""secondary report transcribed; no audio measured"", ""accessed_date"": ""2026-09-22"", ""audio_timestamp"": null, ""confidence"": ""low_to_medium""}, ""meter"": {""source_id"": ""S08"", ""url"": ""https://songbpm.com/@king/maan-meri-jaan-x4YXpdKL2V"", ""version"": ""original title, not Afterlife or lofi"", ""method"": ""secondary report transcribed; no audio measured"", ""accessed_date"": ""2026-09-22"", ""audio_timestamp"": null, ""confidence"": ""low_to_medium""}}"
C_kahani-suno-2-0,Kahani Suno 2.0,Kaifi Khalil,,,,,,chart track aggregate; exact master not bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
C_kesariya,Kesariya,"Pritam, Arijit Singh",,,,True,,chart track aggregate; exact master not bound,,,,,,,,,94,,,C,major,neutral (source label),average (source label),somewhat danceable (source label),4 beats per bar; denominator unknown,268,,,,,,,,,,,,"{""bpm"": {""source_id"": ""S09"", ""url"": ""https://songbpm.com/@pritam/kesariya-from-brahmastra-auHbcTRXSi"", ""version"": ""From Brahmastra, not dance mix or teaser"", ""method"": ""secondary report transcribed; no audio measured"", ""accessed_date"": ""2026-09-22"", ""audio_timestamp"": null, ""confidence"": ""low_to_medium""}, ""key"": {""source_id"": ""S09"", ""url"": ""https://songbpm.com/@pritam/kesariya-from-brahmastra-auHbcTRXSi"", ""version"": ""From Brahmastra, not dance mix or teaser"", ""method"": ""secondary report transcribed; no audio measured"", ""accessed_date"": ""2026-09-22"", ""audio_timestamp"": null, ""confidence"": ""low_to_medium""}, ""mode"": {""source_id"": ""S09"", ""url"": ""https://songbpm.com/@pritam/kesariya-from-brahmastra-auHbcTRXSi"", ""version"": ""From Brahmastra, not dance mix or teaser"", ""method"": ""secondary report transcribed; no audio measured"", ""accessed_date"": ""2026-09-22"", ""audio_timestamp"": null, ""confidence"": ""low_to_medium""}, ""duration_seconds"": {""source_id"": ""S09"", ""url"": ""https://songbpm.com/@pritam/kesariya-from-brahmastra-auHbcTRXSi"", ""version"": ""From Brahmastra, not dance mix or teaser"", ""method"": ""secondary report transcribed; no audio measured"", ""accessed_date"": ""2026-09-22"", ""audio_timestamp"": null, ""confidence"": ""low_to_medium""}, ""emotion"": {""source_id"": ""S09"", ""url"": ""https://songbpm.com/@pritam/kesariya-from-brahmastra-auHbcTRXSi"", ""version"": ""From Brahmastra, not dance mix or teaser"", ""method"": ""secondary report transcribed; no audio measured"", ""accessed_date"": ""2026-09-22"", ""audio_timestamp"": null, ""confidence"": ""low_to_medium""}, ""energy"": {""source_id"": ""S09"", ""url"": ""https://songbpm.com/@pritam/kesariya-from-brahmastra-auHbcTRXSi"", ""version"": ""From Brahmastra, not dance mix or teaser"", ""method"": ""secondary report transcribed; no audio measured"", ""accessed_date"": ""2026-09-22"", ""audio_timestamp"": null, ""confidence"": ""low_to_medium""}, ""groove"": {""source_id"": ""S09"", ""url"": ""https://songbpm.com/@pritam/kesariya-from-brahmastra-auHbcTRXSi"", ""version"": ""From Brahmastra, not dance mix or teaser"", ""method"": ""secondary report transcribed; no audio measured"", ""accessed_date"": ""2026-09-22"", ""audio_timestamp"": null, ""confidence"": ""low_to_medium""}, ""meter"": {""source_id"": ""S09"", ""url"": ""https://songbpm.com/@pritam/kesariya-from-brahmastra-auHbcTRXSi"", ""version"": ""From Brahmastra, not dance mix or teaser"", ""method"": ""secondary report transcribed; no audio measured"", ""accessed_date"": ""2026-09-22"", ""audio_timestamp"": null, ""confidence"": ""low_to_medium""}}"
C_malang-sajna,Malang Sajna,Sachet Tandon,,,,,,chart track aggregate; exact master not bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
C_cheques,Cheques,Shubh,,,,,,chart track aggregate; exact master not bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
C_heeriye,Heeriye,"Arijit Singh, Jasleen Royal",,,,,,chart track aggregate; exact master not bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
C_chaleya,Chaleya,,,,,True,,chart track aggregate; exact master not bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
C_phir-aur-kya-chahiye,Phir Aur Kya Chahiye,,,,,True,,chart track aggregate; exact master not bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
C_agar-tum-saath-ho,Agar Tum Saath Ho,,,,,True,,chart track aggregate; exact master not bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
C_daku,Daku,"Chani Nattan, Inderpal Moga",,,,,,chart track aggregate; exact master not bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
C_pehle-bhi-main,Pehle Bhi Main,"Vishal Mishra, Raj Shekhar",,,,True,,chart track aggregate; exact master not bound,,,,,,,,,77,,,A# / Bb,minor,,,,,250,,,,,,,,,,,,"{""bpm"": {""source_id"": ""S11"", ""url"": ""https://tunebat.com/Info/Pehle-Bhi-Main-Vishal-Mishra-Raj-Shekhar/7yDHHVKLbvDmVw1XXhDDIO"", ""version"": ""ANIMAL 4:10; Spotify identifier 7yDHHVKLbvDmVw1XXhDDIO"", ""method"": ""secondary report transcribed; no audio measured"", ""accessed_date"": ""2026-09-22"", ""audio_timestamp"": null, ""confidence"": ""low_to_medium""}, ""key"": {""source_id"": ""S11"", ""url"": ""https://tunebat.com/Info/Pehle-Bhi-Main-Vishal-Mishra-Raj-Shekhar/7yDHHVKLbvDmVw1XXhDDIO"", ""version"": ""ANIMAL 4:10; Spotify identifier 7yDHHVKLbvDmVw1XXhDDIO"", ""method"": ""secondary report transcribed; no audio measured"", ""accessed_date"": ""2026-09-22"", ""audio_timestamp"": null, ""confidence"": ""low_to_medium""}, ""mode"": {""source_id"": ""S11"", ""url"": ""https://tunebat.com/Info/Pehle-Bhi-Main-Vishal-Mishra-Raj-Shekhar/7yDHHVKLbvDmVw1XXhDDIO"", ""version"": ""ANIMAL 4:10; Spotify identifier 7yDHHVKLbvDmVw1XXhDDIO"", ""method"": ""secondary report transcribed; no audio measured"", ""accessed_date"": ""2026-09-22"", ""audio_timestamp"": null, ""confidence"": ""low_to_medium""}, ""duration_seconds"": {""source_id"": ""S11"", ""url"": ""https://tunebat.com/Info/Pehle-Bhi-Main-Vishal-Mishra-Raj-Shekhar/7yDHHVKLbvDmVw1XXhDDIO"", ""version"": ""ANIMAL 4:10; Spotify identifier 7yDHHVKLbvDmVw1XXhDDIO"", ""method"": ""secondary report transcribed; no audio measured"", ""accessed_date"": ""2026-09-22"", ""audio_timestamp"": null, ""confidence"": ""low_to_medium""}}"
C_big-dawgs,Big Dawgs,"Hanumankind, Kalmi",,,,,,chart track aggregate; exact master not bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
C_akhiyaan-gulaab,Akhiyaan Gulaab,Mitraz,,,,True,,chart track aggregate; exact master not bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
C_naina,Naina,"Badshah, Diljit Dosanjh, Raj Ranjodh",,,,True,,chart track aggregate; exact master not bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
C_sajni,Sajni,"Arijit Singh, Prashant Pandey, Ram Sampath",,,,True,,chart track aggregate; exact master not bound,,,,,,,,,80,,,C,major,somber (source label),average (source label),somewhat danceable (source label),4 beats per bar; denominator unknown,170,,,,,,,,,,,,"{""bpm"": {""source_id"": ""S10"", ""url"": ""https://songbpm.com/@ram-sampath/sajni-from-laapataa-ladies-lomdOgZ_wi"", ""version"": ""From Laapataa Ladies, not Jal the Band"", ""method"": ""secondary report transcribed; no audio measured"", ""accessed_date"": ""2026-09-22"", ""audio_timestamp"": null, ""confidence"": ""low_to_medium""}, ""key"": {""source_id"": ""S10"", ""url"": ""https://songbpm.com/@ram-sampath/sajni-from-laapataa-ladies-lomdOgZ_wi"", ""version"": ""From Laapataa Ladies, not Jal the Band"", ""method"": ""secondary report transcribed; no audio measured"", ""accessed_date"": ""2026-09-22"", ""audio_timestamp"": null, ""confidence"": ""low_to_medium""}, ""mode"": {""source_id"": ""S10"", ""url"": ""https://songbpm.com/@ram-sampath/sajni-from-laapataa-ladies-lomdOgZ_wi"", ""version"": ""From Laapataa Ladies, not Jal the Band"", ""method"": ""secondary report transcribed; no audio measured"", ""accessed_date"": ""2026-09-22"", ""audio_timestamp"": null, ""confidence"": ""low_to_medium""}, ""duration_seconds"": {""source_id"": ""S10"", ""url"": ""https://songbpm.com/@ram-sampath/sajni-from-laapataa-ladies-lomdOgZ_wi"", ""version"": ""From Laapataa Ladies, not Jal the Band"", ""method"": ""secondary report transcribed; no audio measured"", ""accessed_date"": ""2026-09-22"", ""audio_timestamp"": null, ""confidence"": ""low_to_medium""}, ""emotion"": {""source_id"": ""S10"", ""url"": ""https://songbpm.com/@ram-sampath/sajni-from-laapataa-ladies-lomdOgZ_wi"", ""version"": ""From Laapataa Ladies, not Jal the Band"", ""method"": ""secondary report transcribed; no audio measured"", ""accessed_date"": ""2026-09-22"", ""audio_timestamp"": null, ""confidence"": ""low_to_medium""}, ""energy"": {""source_id"": ""S10"", ""url"": ""https://songbpm.com/@ram-sampath/sajni-from-laapataa-ladies-lomdOgZ_wi"", ""version"": ""From Laapataa Ladies, not Jal the Band"", ""method"": ""secondary report transcribed; no audio measured"", ""accessed_date"": ""2026-09-22"", ""audio_timestamp"": null, ""confidence"": ""low_to_medium""}, ""groove"": {""source_id"": ""S10"", ""url"": ""https://songbpm.com/@ram-sampath/sajni-from-laapataa-ladies-lomdOgZ_wi"", ""version"": ""From Laapataa Ladies, not Jal the Band"", ""method"": ""secondary report transcribed; no audio measured"", ""accessed_date"": ""2026-09-22"", ""audio_timestamp"": null, ""confidence"": ""low_to_medium""}, ""meter"": {""source_id"": ""S10"", ""url"": ""https://songbpm.com/@ram-sampath/sajni-from-laapataa-ladies-lomdOgZ_wi"", ""version"": ""From Laapataa Ladies, not Jal the Band"", ""method"": ""secondary report transcribed; no audio measured"", ""accessed_date"": ""2026-09-22"", ""audio_timestamp"": null, ""confidence"": ""low_to_medium""}}"
C_tauba-tauba,Tauba Tauba,Karan Aujla,,,,,,chart track aggregate; exact master not bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
C_besharam-rang,Besharam Rang,,,,,True,,chart track aggregate; exact master not bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
C_jhoome-jo-pathaan,Jhoome Jo Pathaan,,,,,True,,chart track aggregate; exact master not bound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{}
