candidate_id,label,path,asset_count,TYPE,MUSIC_READY,LYRICS_READY,VOCALS_READY,MIX_MASTER_READY,REVISION_REQUIRED,LIVE_READY,PRIORITY,NEXT_ACTION,ACTION_OWNER
cat2_72248a635568cd4f,Gerua medley,Gerua medley,8,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_5a750b7f5d14f375,Ghar Kab Aaoge,Ghar Kab Aaoge,4,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_f8d34f150d2fb8c0,Har kisi ko,Har kisi ko,4,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_25bdfeaf7d790f69,Heeriye,Heeriye,3,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_9f471552913e7785,Hua Mein,Hua Mein,11,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_b3ce77feab47711c,Intro beat,Intro beat,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_8226399e711d0a9e,Jaanam,Jaanam,8,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_19e92cf29661d9ff,Jaate hue lamhon,Jaate hue lamhon,7,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_9c703ca993d3bd73,Jee Le Zara,Jee Le Zara,10,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_dfa717181359d1ff,Jenna Sikha De,Jenna Sikha De,13,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_2fe20d4c7721b634,Kahani Suno,Kahani Suno,12,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_72021be2452fdf27,Kaise Hua,Kaise Hua,2,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_a2a636a02c99c082,Kalank,Kalank,12,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_c880f769b3999d0b,Kesariya,Kesariya,15,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_f07c6976c30a8456,Khairiyat,Khairiyat,9,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_b642a520783d1ddc,Khoobsurat,Khoobsurat,11,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_685800823f5c325e,Love mashups ,Love mashups ,3,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_f0cbbcd0f7d53566,Main Gira,Main Gira,2,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_49b256ae53f5b65b,Mann Ki Lagan,Mann Ki Lagan,2,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_19ffb1e90e957e5a,Mehram,Mehram,5,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_d97ef8bda61557fa,Mere bina Labon ko,Mere bina Labon ko,8,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_091f4fce6f889c00,Mere Mehboob,Mere Mehboob,11,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_823dcfaf0a8be169,asma mastered_01.wav,NITIN 2008/asma mastered_01.wav,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_e526065897b54f07,KHAN KHAN MASTERED.wav,NITIN 2008/KHAN KHAN MASTERED.wav,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_b51082b1c9ad2a98,KHILTA GHUL MASTERED.wav,NITIN 2008/KHILTA GHUL MASTERED.wav,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_9e83d55d3d3b9604,khud se mastered.wav,NITIN 2008/khud se mastered.wav,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_91a182b555222b59,raeena mastered.wav,NITIN 2008/raeena mastered.wav,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_a771c4c946c5174e,SANIYA MASTERED_00.wav,NITIN 2008/SANIYA MASTERED_00.wav,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_e33fdd193b68cbe2,tum sabse mastered.wav,NITIN 2008/tum sabse mastered.wav,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_0f2352dc32122b2e,ye raat mastered_00.wav,NITIN 2008/ye raat mastered_00.wav,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_35549f8c6f426681,O Maahi,O Maahi,9,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_ac22922e887b8dc4,O Re Piya,O Re Piya,3,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_34c4090bdc6b70b0,Pehle Bhi Main,Pehle Bhi Main,6,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_ce207aedcec807c8,Phil Moh,Phil Moh,6,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_c56f7f16c0194218,Phir aur Kya chaiye ,Phir aur Kya chaiye ,5,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_dd9806cb61943182,Qayde Se,Qayde Se,5,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_8259ba7267e4e89a,Ranjhaan,Ranjhaan,3,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_2cf6a8cf1de575d7,Roya Jab Tu,Roya Jab Tu,5,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_2e57fd59f550db5e,Saari Duniya,Saari Duniya,5,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_093ac13865586a20,Saiyaara,Saiyaara,4,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_28cbe448ddf09936,Satranga,Satranga,4,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_f7697ee3c3bb86a6,Ae Dil Hai Mushkil,Songs voor 2022/Ae Dil Hai Mushkil,3,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_e64844bc7095d5c1,Chunar,Songs voor 2022/Chunar,3,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_eb056311e6761841,Mein Tenu,Songs voor 2022/Mein Tenu,3,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_d504d8e4f57b8a77,Surili Akhiyon,Songs voor 2022/Surili Akhiyon,3,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_11f221664e7b149a,Tere Sang Yara,Songs voor 2022/Tere Sang Yara,3,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_008a538f6f9b4553,Tere Sang Ishq ,Tere Sang Ishq ,5,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_4371054f29c55215,Toh Phir Aao,Toh Phir Aao,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_360cae7d26003f10,Tujhe kitna G-70,Tujhe kitna G-70,9,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_624bc8b7a6462970,Tujhe ko,Tujhe ko,4,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_b8046d1988d73287,Tum Jo Mil Gaye,Tum Jo Mil Gaye,3,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_58267979d8b6ad17,Tum Kya Mile,Tum Kya Mile,12,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_166608e1cbdb963e,Tum se hi ,Tum se hi ,9,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_f110c9f9abd99452,TUMHE KITNA PYAAR,TUMHE KITNA PYAAR,4,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_1e590f0a69014da7,Ve Kamleya,Ve Kamleya,3,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cat2_b070da9b59558720,Ya Ali,Ya Ali,1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
