song_id,stratum,title,film,film_or_nonfilm,singer_artist,language_flag,release_year,release_year_source,key,mode,key_mode_classification,bpm,tempo_zone,half_double_tempo_note,meter,duration_source_audio,yt_video_id,yt_url,yt_channel,yt_upload_variant,yt_official,yt_views,yt_views_source,yt_views_observed_at,yt_views_alt,yt_views_alt_source,yt_views_alt_observed_at,yt_upload_date,yt_upload_date_source,upload_age_days_at_obs,views_per_day,streaming_indicators,streaming_observed_at,emotion_energy_tag,emotion_tag_basis,vocal_range_tessitura,n_key_bpm_sources,measurement_method,key_bpm_confidence,conflicts,evidence_tier,inclusion_status,notes,key_bpm_source_urls
A11,A,Dil Laga Liya,Dil Hai Tumhaara,film,"Udit Narayan, Alka Yagnik",Hindi,2009,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,,,,,,,,,,,Tips Industries,official video/audio per list; variant not verified,True,1264066276,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,2026-09-21T22:19Z,,,,2009-12-09,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,6130,206209.8,,,romance,"analyst judgement (hypothesis-level, not measured)",,0,,,,frame-only,included_views_only,"pre-2011 film; outside the 10–15-year window, retained as flagged",
A12,A,Khairiyat,Chhichhore,film,Arijit Singh,Hindi,2019,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,,,,,,,,,,,T-Series,official video/audio per list; variant not verified,True,1231107555,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,2026-09-21T22:19Z,,,,2019-09-26,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,2552,482408.9,,,romance/nostalgia ballad,"analyst judgement (hypothesis-level, not measured)",,0,,,,frame-only,included_views_only,YouTube watch page returned HTTP 429 to the fetch tool; direct view count unavailable,
A13,A,Tum Hi Aana,Marjaavaan,film,Jubin Nautiyal,Hindi,2019,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,,,,,,,,,,,T-Series,official video/audio per list; variant not verified,True,1237271026,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,2026-09-21T22:19Z,,,,2019-10-15,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,2533,488460.7,,,romance ballad,"analyst judgement (hypothesis-level, not measured)",,0,,,,frame-only,included_views_only,YouTube watch page returned HTTP 429 to the fetch tool; direct view count unavailable,
A14,A,Jhoome Jo Pathaan,Pathaan,film,"Arijit Singh, Sukriti Kakar",Hindi,2022,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,,,,,,,,,,,Yash Raj Films,official video/audio per list; variant not verified,True,1229156160,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,2026-09-21T22:19Z,,,,2022-12-22,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,1369,897849.6,,,dance/party,"analyst judgement (hypothesis-level, not measured)",,0,,,,frame-only,included_views_only,YouTube watch page returned HTTP 429 to the fetch tool; direct view count unavailable,
A15,A,Humnava Mere,,non-film,Jubin Nautiyal,Hindi,2018,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,,,,,,,,,,,T-Series,official video/audio per list; variant not verified,True,1229627869,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,2026-09-21T22:19Z,,,,2018-05-23,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,3043,404084.1,,,romance ballad,"analyst judgement (hypothesis-level, not measured)",,0,,,,frame-only,included_views_only,YouTube watch page returned HTTP 429 to the fetch tool; direct view count unavailable,
A16,A,Abhi Toh Party Shuru Hui Hai,Khoobsurat,film,"Badshah, Aastha Gill",Hindi,2014,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,,,,,,,,,,,T-Series,official video/audio per list; variant not verified,True,1214804650,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,2026-09-21T22:19Z,,,,2014-11-11,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,4332,280425.8,,,party,"analyst judgement (hypothesis-level, not measured)",,0,,,,frame-only,included_views_only,YouTube watch page returned HTTP 429 to the fetch tool; direct view count unavailable,
A17,A,Phir Bhi Tumko Chaahunga,Half Girlfriend,film,"Arijit Singh, Shashaa Tirupati",Hindi,2017,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,,,,,,,,,,,Zee Music Company,official video/audio per list; variant not verified,True,1208851433,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,2026-09-21T22:19Z,,,,2017-07-06,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,3364,359349.4,,,romance ballad,"analyst judgement (hypothesis-level, not measured)",,0,,,,frame-only,included_views_only,YouTube watch page returned HTTP 429 to the fetch tool; direct view count unavailable,
A18,A,Filhall,,non-film,B Praak,Hindi/Punjabi,2019,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,,,,,,,,,,,Desi Melodies,official video/audio per list; variant not verified,True,1186610265,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,2026-09-21T22:19Z,,,,2019-11-09,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,2508,473130.1,,,heartbreak,"analyst judgement (hypothesis-level, not measured)",,0,,,,frame-only,included_views_only,YouTube watch page returned HTTP 429 to the fetch tool; direct view count unavailable,
A19,A,Kala Chashma,Baar Baar Dekho,film,"Badshah, Neha Kakkar, Amar Arshi",Hindi/Punjabi,2016,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,,,,,,,,,,,Zee Music Company,official video/audio per list; variant not verified,True,1132995629,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,2026-09-21T22:19Z,,,,2016-07-27,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,3708,305554.4,,,party (recreation),"analyst judgement (hypothesis-level, not measured)",,0,,,,frame-only,included_views_only,YouTube watch page returned HTTP 429 to the fetch tool; direct view count unavailable,
A20,A,Galti Se Mistake,Jagga Jasoos,film,"Arijit Singh, Amit Mishra",Hindi,2017,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,,,,,,,,,,,T-Series,official video/audio per list; variant not verified,True,1109271065,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,2026-09-21T22:19Z,,,,2017-06-09,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,3391,327122.1,,,upbeat/comic,"analyst judgement (hypothesis-level, not measured)",,0,,,,frame-only,included_views_only,YouTube watch page returned HTTP 429 to the fetch tool; direct view count unavailable,
A21,A,Jaha Tum Rahoge,Maheruh,film,Altamash Faridi,Hindi,2017,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,,,,,,,,,,,Zee Music Company,official video/audio per list; variant not verified,True,1094199378,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,2026-09-21T22:19Z,,,,2017-11-02,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,3245,337195.5,,,romance ballad,"analyst judgement (hypothesis-level, not measured)",,0,,,,frame-only,included_views_only,YouTube watch page returned HTTP 429 to the fetch tool; direct view count unavailable,
A22,A,Leja Re,,non-film,Dhvani Bhanushali,Hindi,2018,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,Db,major,Db major,100,upper-mid 100-114,,,,,,T-Series,official video/audio per list; variant not verified,True,1056213636,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,2026-09-21T22:19Z,,,,2018-11-24,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,2858,369563.9,,,romance (recreation),"analyst judgement (hypothesis-level, not measured)",,1,"secondary-source estimate (Spotify audio-analysis-derived, as republished by the listed sites); no independent audio measurement performed",low (single secondary estimate),,verified-secondary,included_full,YouTube watch page returned HTTP 429 to the fetch tool; direct view count unavailable,https://songdata.io/search?query=vaaste
A23,A,Genda Phool,,non-film,"Badshah, Payal Dev",Hindi/Bengali,2020,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,,,,,,,,,,,Sony Music India,official video/audio per list; variant not verified,True,1051177033,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,2026-09-21T22:19Z,,,,2020-03-26,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,2370,443534.6,,,dance/folk-sample,"analyst judgement (hypothesis-level, not measured)",,0,,,,frame-only,included_views_only,YouTube watch page returned HTTP 429 to the fetch tool; direct view count unavailable,
A24,A,O Saki Saki,Batla House,film,"Neha Kakkar, Tulsi Kumar, B Praak",Hindi,2019,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,,,,,,,,,,,T-Series,official video/audio per list; variant not verified,True,1047706419,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,2026-09-21T22:19Z,,,,2019-08-29,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,2580,406087.8,,,dance/item (recreation),"analyst judgement (hypothesis-level, not measured)",,0,,,,frame-only,included_views_only,YouTube watch page returned HTTP 429 to the fetch tool; direct view count unavailable,
A25,A,Prem Ratan Dhan Payo,Prem Ratan Dhan Payo,film,Palak Muchhal,Hindi,2015,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,,,,,,,,,,,T-Series,official video/audio per list; variant not verified,True,1025149571,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,2026-09-21T22:19Z,,,,2015-12-01,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,3947,259728.8,,,romance/celebration,"analyst judgement (hypothesis-level, not measured)",,0,,,,frame-only,included_views_only,YouTube watch page returned HTTP 429 to the fetch tool; direct view count unavailable,
A26,A,Aaj Ki Raat,Stree 2,film,Madhubanti Bagchi,Hindi,2024,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,,,,,,,,,,,Saregama Music,official video/audio per list; variant not verified,True,1011705060,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,2026-09-21T22:19Z,,,,2024-07-24,https://en.wikipedia.org/wiki/List_of_most-viewed_Indian_YouTube_videos,789,1282262.4,,,dance/item,"analyst judgement (hypothesis-level, not measured)",,0,,,,frame-only,included_views_only,YouTube watch page returned HTTP 429 to the fetch tool; direct view count unavailable,
B01,B,Jo Bhi Main,Rockstar,film,Mohit Chauhan,Hindi (frame assumption; not verified),2011,Filmfare nominee pages (film year; ceremony year minus 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,frame-only,frame_only_no_data,,
B02,B,Chammak Challo,Ra.One,film,Akon,Hindi (frame assumption; not verified),2011,Filmfare nominee pages (film year; ceremony year minus 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,frame-only,frame_only_no_data,,
B03,B,Sadda Haq,Rockstar,film,Mohit Chauhan,Hindi (frame assumption; not verified),2011,Filmfare nominee pages (film year; ceremony year minus 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,frame-only,frame_only_no_data,,
B04,B,Teri Meri,Bodyguard,film,Rahat Fateh Ali Khan Shreya Ghoshal,Hindi (frame assumption; not verified),2011,Filmfare nominee pages (film year; ceremony year minus 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,frame-only,frame_only_no_data,,
B05,B,Dildaara,Ra.One,film,Shafqat Amanat Ali,Hindi (frame assumption; not verified),2011,Filmfare nominee pages (film year; ceremony year minus 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,frame-only,frame_only_no_data,,
B06,B,Pani Da Rang,Vicky Donor,film,Ayushmann Khurrana,Hindi (frame assumption; not verified),2012,Filmfare nominee pages (film year; ceremony year minus 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,frame-only,frame_only_no_data,,
B07,B,Ala Barfi,Barfi!,film,Mohit Chauhan,Hindi (frame assumption; not verified),2012,Filmfare nominee pages (film year; ceremony year minus 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,frame-only,frame_only_no_data,,
B08,B,Main Kya Karoon,Barfi!,film,Nikhil Paul George,Hindi (frame assumption; not verified),2012,Filmfare nominee pages (film year; ceremony year minus 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,frame-only,frame_only_no_data,,
B09,B,Challa,Jab Tak Hai Jaan,film,Rabbi Shergill,Hindi (frame assumption; not verified),2012,Filmfare nominee pages (film year; ceremony year minus 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,frame-only,frame_only_no_data,,
B10,B,Abhi Mujh Mein Kahin,Agneepath,film,Sonu Nigam,Hindi (frame assumption; not verified),2012,Filmfare nominee pages (film year; ceremony year minus 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,frame-only,frame_only_no_data,,
B11,B,Tum Hi Ho,Aashiqui 2,film,Arijit Singh,Hindi (frame assumption; not verified),2013,Filmfare nominee pages (film year; ceremony year minus 1),F,minor,F minor,94,mid 85-99,,,,,,,,,,,,,,,,,,,,,romance/heartbreak ballad,"analyst judgement (hypothesis-level, not measured)",,1,"secondary-source estimate (Spotify audio-analysis-derived, as republished by the listed sites); no independent audio measurement performed",low (single secondary estimate),,verified-secondary,included_keybpm_only,,https://songdata.io/search?query=vaaste
B12,B,Manja,Kai Po Che!,film,Amit Trivedi,Hindi (frame assumption; not verified),2013,Filmfare nominee pages (film year; ceremony year minus 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,frame-only,frame_only_no_data,,
B13,B,Sunn Raha Hai,Aashiqui 2,film,Ankit Tiwari,Hindi (frame assumption; not verified),2013,Filmfare nominee pages (film year; ceremony year minus 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,frame-only,frame_only_no_data,,
B14,B,Badtameez Dil,Yeh Jawaani Hai Deewani,film,Benny Dayal,Hindi (frame assumption; not verified),2013,Filmfare nominee pages (film year; ceremony year minus 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,frame-only,frame_only_no_data,,
B15,B,Zinda,Bhaag Milkha Bhaag,film,Siddharth Mahadevan,Hindi (frame assumption; not verified),2013,Filmfare nominee pages (film year; ceremony year minus 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,frame-only,frame_only_no_data,,
B16,B,Galliyan,Ek Villain,film,Ankit Tiwari,Hindi (frame assumption; not verified),2014,Filmfare nominee pages (film year; ceremony year minus 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,frame-only,frame_only_no_data,,
B17,B,Suno Na Sangemarmar,Youngistaan,film,Arijit Singh,Hindi (frame assumption; not verified),2014,Filmfare nominee pages (film year; ceremony year minus 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,frame-only,frame_only_no_data,,
B18,B,Mast Magan,2 States,film,Arijit Singh,Hindi (frame assumption; not verified),2014,Filmfare nominee pages (film year; ceremony year minus 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,frame-only,frame_only_no_data,,
B19,B,Locha-E-Ulfat,2 States,film,Benny Dayal,Hindi (frame assumption; not verified),2014,Filmfare nominee pages (film year; ceremony year minus 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,frame-only,frame_only_no_data,,
B20,B,Zehnaseeb,Hasee Toh Phasee,film,Shekhar Ravjiani Chinmayi,Hindi (frame assumption; not verified),2014,Filmfare nominee pages (film year; ceremony year minus 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,frame-only,frame_only_no_data,,
B21,B,Sooraj Dooba Hain,Roy,film,Arijit Singh Aditi Singh Sharma,Hindi (frame assumption; not verified),2015,Filmfare nominee pages (film year; ceremony year minus 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,frame-only,frame_only_no_data,,
B22,B,Tu Hai Ke Nahi,Roy,film,Ankit Tiwari,Hindi (frame assumption; not verified),2015,Filmfare nominee pages (film year; ceremony year minus 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,frame-only,frame_only_no_data,,
B23,B,Gerua,Dilwale,film,Arijit Singh Antara Mitra,Hindi (frame assumption; not verified),2015,Filmfare nominee pages (film year; ceremony year minus 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,frame-only,frame_only_no_data,,
B24,B,Jeena Jeena,Badlapur,film,Atif Aslam,Hindi (frame assumption; not verified),2015,Filmfare nominee pages (film year; ceremony year minus 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,frame-only,frame_only_no_data,,
B25,B,Moh Moh Ke Dhaage,Dum Laga Ke Haisha,film,Papon Monali Thakur,Hindi (frame assumption; not verified),2015,Filmfare nominee pages (film year; ceremony year minus 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,frame-only,frame_only_no_data,,
B26,B,Gulaabo,Shaandaar,film,Vishal Dadlani Anusha Mani,Hindi (frame assumption; not verified),2015,Filmfare nominee pages (film year; ceremony year minus 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,frame-only,frame_only_no_data,,
B27,B,Ae Dil Hai Mushkil,Ae Dil Hai Mushkil,film,Arijit Singh,Hindi (frame assumption; not verified),2016,Filmfare nominee pages (film year; ceremony year minus 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,frame-only,frame_only_no_data,,
B28,B,Bulleya,Ae Dil Hai Mushkil,film,Amit Mishra,Hindi (frame assumption; not verified),2016,Filmfare nominee pages (film year; ceremony year minus 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,frame-only,frame_only_no_data,,
